days_since_won,at_risk,events,censored,survival,cumulative_activation,metric_version
106.5808,409,1,0,0.5667427924848402,0.43325720751515984,v3
107.3243,408,1,0,0.5653537170130636,0.4346462829869364,v3
108.3225,407,0,1,0.5653537170130636,0.4346462829869364,v3
108.9198,406,1,0,0.5639612201731299,0.4360387798268701,v3
109.9954,405,1,0,0.5625687233331963,0.4374312766668037,v3
110.9067,404,1,0,0.5611762264932626,0.4388237735067374,v3
111.4797,403,1,0,0.5597837296533289,0.4402162703466711,v3
112.3205,402,1,0,0.5583912328133952,0.4416087671866048,v3
114.0704,401,1,0,0.5569987359734616,0.4430012640265384,v3
114.1018,400,1,0,0.555606239133528,0.444393760866472,v3
114.1456,399,0,1,0.555606239133528,0.444393760866472,v3
